Station,Month,Pressure (dbar),Temperature (ITS-90),Salinity (PSS-78) ,DIC (umol/kg),pH,Aklanity (ueq/kg),Modelled_pH
ALOHA,2004-01,792.9307692,13.18370769,34.7176,2150.392308,7.751,2325.461538,7.898208851
ALOHA,2004-02,922.9333333,12.73607778,34.62137778,2140.611111,7.768555556,2326,7.933314772
ALOHA,2004-03,1038.333333,11.85995,34.74105833,2167.458333,7.746583333,2342.833333,7.911306085
ALOHA,2004-04,771.47,13.80459,34.73272,2137.78,7.7741,2323,7.913483643
ALOHA,2004-05,1255.1625,14.4643625,34.8576375,2136.45,7.840875,2348.25,7.955107913
ALOHA,2004-06,1050.536364,13.25582727,34.68885455,2147.072727,7.779272727,2330.545455,7.915075881
ALOHA,2004-07,1004.222222,12.90455556,34.6392,2165.244444,7.733666667,2332.777778,7.873593437
ALOHA,2004-08,1064.125,11.457775,34.6698,2183.208333,7.708416667,2335.333333,7.862273015
ALOHA,2004-09,1126.618182,11.58342727,34.61734545,2178.318182,7.714909091,2336.909091,7.875134707
ALOHA,2004-10,1086.058333,10.77858333,34.63958333,2195.508333,7.674833333,2340.583333,7.851114066
ALOHA,2004-11,885.3666667,13.89568333,34.70178333,2141.683333,7.775333333,2325.083333,7.905940769
ALOHA,2004-12,1155.336364,10.35630909,34.57944545,2195.954545,7.678454545,2338,7.855793265
ALOHA,2005-02,1074.933333,11.32485,34.61479167,2180.958333,7.699166667,2333.5,7.862415239
ALOHA,2005-03,932.5846154,12.99957692,34.71172308,2153.230769,7.755923077,2332.153846,7.90314774
ALOHA,2005-05,812.5642857,14.43185,34.69872857,2135.4,7.782071429,2328,7.919715356
ALOHA,2005-06,869.4066667,13.3431,34.75432667,2149.233333,7.772933333,2333.466667,7.916641336
ALOHA,2005-07,1438.825,8.081925,34.4981375,2222.425,7.636375,2340.375,7.825985918
ALOHA,2005-08,724.95,14.85238571,34.76728571,2129.65,7.796357143,2324.428571,7.923194907
ALOHA,2005-09,928.7357143,14.10047143,34.76742143,2155.95,7.761285714,2338.857143,7.893226284
ALOHA,2005-10,838.8,13.54036364,34.64508182,2142.109091,7.762363636,2322.181818,7.90767569
ALOHA,2005-11,860.7375,13.38210625,34.68941875,2152.575,7.757625,2329.4375,7.898626331
ALOHA,2005-12,1092.075,10.89238333,34.65323333,2196.566667,7.6715,2338.833333,7.842319565
ALOHA,2006-01,242.425,18.46344167,34.96689167,2064.241667,7.916166667,2314.75,8.014016466
ALOHA,2006-02,847.1625,12.30736875,34.64175,2160.15625,7.7335625,2326.3125,7.896749691
ALOHA,2006-03,827.4923077,11.93255385,34.63256923,2168.807692,7.708615385,2328.384615,7.879735421
ALOHA,2006-04,853.9133333,13.94817333,34.71066667,2132.213333,7.7988,2324.2,7.932747075
ALOHA,2006-05,846.15625,12.32219375,34.69701875,2155.7375,7.74475,2325.1875,7.904723365
ALOHA,2006-06,1013.083333,13.3167,34.73291667,2149.275,7.778916667,2334.333333,7.914110079
ALOHA,2006-07,851.55,13.60131875,34.6769625,2147.36875,7.759375,2327.125,7.906154914
ALOHA,2006-08,908.9666667,12.14699333,34.64768667,2162.906667,7.7272,2325.866667,7.890251224
ALOHA,2006-09,947.7071429,13.01606429,34.74407857,2161.828571,7.740071429,2333.571429,7.885903936
ALOHA,2006-10,878.3818182,13.46997273,34.75459091,2145.827273,7.772727273,2327.727273,7.910939327
ALOHA,2006-11,902.0266667,13.35316,34.70858667,2150.946667,7.7552,2328.133333,7.900642216
ALOHA,2006-12,797.3923077,13.00586923,34.68203846,2150.6,7.744538462,2322.769231,7.897587867
ALOHA,2007-02,819.75,13.13460714,34.6942,2142.664286,7.762928571,2322.285714,7.915277603
ALOHA,2007-03,755.8307692,13.38102308,34.69036154,2135.246154,7.785769231,2320.692308,7.933794809
ALOHA,2007-05,895.1428571,13.50625,34.62568571,2146.364286,7.762857143,2323.642857,7.898398887
ALOHA,2007-06,1455.988889,6.155933333,34.4155,2258.333333,7.542222222,2340.222222,7.765466576
ALOHA,2007-07,642.2461538,15.15288462,34.6838,2121.269231,7.799153846,2307.615385,7.905904698
ALOHA,2007-08,896.2333333,12.76839333,34.58536667,2163.726667,7.726866667,2325.266667,7.877701996
ALOHA,2007-09,870.8466667,14.10372,34.74418667,2143.333333,7.782466667,2328.066667,7.908117544
ALOHA,2007-10,708.18,14.77117333,34.71399333,2133.726667,7.779333333,2318.133333,7.903539235
ALOHA,2007-12,813.5631579,13.60283158,34.66928947,2146.226316,7.767736842,2325.105263,7.908522609
ALOHA,2008-01,871.2071429,14.15892143,34.79654286,2127.935714,7.821428571,2330.857143,7.956677701
ALOHA,2008-02,856.075,12.77061875,34.7040375,2154.375,7.74775,2330,7.907650692
ALOHA,2008-05,890.82,13.39543333,34.72016,2155.106667,7.750533333,2332.066667,7.895314626
ALOHA,2008-06,892.0928571,14.42705714,34.74524286,2139.721429,7.796142857,2332.785714,7.925245745
ALOHA,2008-07,832.51875,14.29105,34.7213,2137.99375,7.7874375,2326.875,7.921145601
ALOHA,2008-08,848.81875,13.995075,34.7314125,2144.175,7.7725,2327.3125,7.905986616
ALOHA,2008-10,1090.108333,10.78328333,34.62765833,2198.241667,7.666083333,2337.25,7.837983053
ALOHA,2008-11,1448.355556,5.629488889,34.38943333,2262.977778,7.534222222,2342.444444,7.771695193
ALOHA,2008-12,85.42857143,22.59455714,35.145,2016.971429,8.035142857,2314.714286,8.073526495
ALOHA,2009-01,857.725,13.07134375,34.79726875,2158.3125,7.7470625,2337.125,7.904798731
ALOHA,2009-02,841.84,13.14497333,34.76837333,2141.433333,7.783066667,2330.6,7.937910901
ALOHA,2009-04,3167.2,1.703566667,34.65853333,2342.2,7.537333333,2419.333333,7.75645455
ALOHA,2009-05,851.30625,13.12284375,34.81715,2155.76875,7.76625,2336.1875,7.912966486
ALOHA,2009-07,888.4777778,13.48000741,34.77005556,2155.474074,7.765185185,2335.851852,7.906081146
ALOHA,2009-08,848.725,13.91439375,34.815025,2152.425,7.774875,2337.875,7.910800813
ALOHA,2009-09,852.5066667,13.85024,34.81046667,2147.773333,7.787266667,2336.2,7.925965919
ALOHA,2009-11,848.1125,13.5616375,34.78716875,2158.125,7.752625,2335.9375,7.899814544
ALOHA,2009-12,804.65,13.72853333,34.88060833,2155.316667,7.766333333,2341.333333,7.916748717
ALOHA,2010-03,810.25,13.39735714,34.76048571,2148.328571,7.765,2331.428571,7.917817888
ALOHA,2010-04,853.44,13.92314667,34.85022,2144.453333,7.786866667,2337.466667,7.931233348
ALOHA,2010-05,843.75,13.50864375,34.8397375,2153,7.7684375,2340.8125,7.923943602
ALOHA,2010-06,937.6,12.85530769,34.80101538,2150.176923,7.777384615,2336.307692,7.937815207
ALOHA,2010-07,904.5666667,12.27213333,34.74856667,2166.286667,7.734466667,2335.266667,7.900921883
ALOHA,2010-08,578.2692308,16.57886154,34.8418,2105.530769,7.840076923,2321.230769,7.953769778
ALOHA,2010-09,878.5333333,14.20047333,34.85222667,2156.28,7.765266667,2342.4,7.901894623
ALOHA,2010-10,746.7846154,15.08716154,34.85230769,2134.761538,7.802076923,2332.076923,7.927912459
ALOHA,2010-11,896.7066667,13.25096,34.74645333,2161.286667,7.746666667,2334,7.889615511
ALOHA,2011-01,865.1866667,13.13308,34.8084,2153.32,7.7716,2335.2,7.920694244
ALOHA,2011-02,1437.066667,5.979422222,34.40932222,2256.177778,7.546777778,2341.666667,7.781543903
ALOHA,2011-03,86.52857143,22.5482,35.24708571,2021.157143,8.036142857,2324.142857,8.081048631
ALOHA,2011-04,770.2,14.59871333,34.78691333,2131.973333,7.791866667,2325.2,7.922022644
ALOHA,2011-05,899.7,12.47208,34.738,2165.48,7.7326,2330.533333,7.884446899
ALOHA,2011-07,851.15,13.81159375,34.6991625,2152.95625,7.754375,2325.375,7.882820551
ALOHA,2011-08,85.67142857,22.9958,35.2071,2018.742857,8.031571429,2313.714286,8.061970676
ALOHA,2011-09,1066.186364,9.970559091,34.56786818,2201.286364,7.651954545,2330.181818,7.830861808
ALOHA,2011-11,870.783871,13.38609677,34.74879355,2157.754839,7.750451613,2332.870968,7.893260104
ALOHA,2011-12,843.175,13.24450625,34.7487625,2153.225,7.761375,2327.9375,7.900132349
ALOHA,2012-01,772.9733333,13.98371333,34.75914667,2143.053333,7.772666667,2326.933333,7.911341994
ALOHA,2012-03,850.30625,13.01715,34.76163125,2155.88125,7.75725,2334.0625,7.910661799
ALOHA,2012-05,1082.643478,11.40752174,34.64981304,2184.186957,7.699956522,2336,7.866278005
ALOHA,2012-06,615.1826087,16.3603,34.9099087,2116.043478,7.844608696,2328.782609,7.949421106
ALOHA,2012-07,1562.4375,5.6926875,34.432375,2274.475,7.53,2351.5,7.755207608
ALOHA,2012-08,626.5666667,16.78244762,34.8931,2112.304762,7.854619048,2329.428571,7.954974408
ALOHA,2012-09,838.9333333,14.20725333,34.73107333,2147.286667,7.774,2326.6,7.899607197
ALOHA,2012-10,846.94375,13.96186875,34.77471875,2158.54375,7.7565625,2340.5625,7.903098523
ALOHA,2012-12,934.5846154,13.69153846,34.82914615,2161.238462,7.756769231,2342.153846,7.897624341
ALOHA,2013-02,420.3615385,15.61643077,34.88460769,2123.630769,7.813461538,2324.384615,7.93975013
ALOHA,2013-03,846.68125,13.10240625,34.81634375,2158.09375,7.753625,2333.9375,7.90339313
ALOHA,2013-04,891.9,12.90438667,34.87622,2172.166667,7.737066667,2344.2,7.88740042
ALOHA,2013-05,67.28333333,23.48415,35.12375,2013.966667,8.047166667,2315.5,8.069813391
ALOHA,2013-06,845.90625,13.36331875,34.7477375,2163.4875,7.743,2332.5,7.884881813
ALOHA,2013-09,704.3,14.6443,34.83898,2144.053333,7.777666667,2329.4,7.907572553
ALOHA,2013-10,868.4965517,14.37082759,34.81903103,2145.824138,7.788586207,2335.103448,7.9170276
ALOHA,2013-11,311.6692308,16.53618462,34.87064615,2113.823077,7.817692308,2318.538462,7.937238407
ALOHA,2013-12,314.6384615,15.78683077,34.80731538,2116.269231,7.807307692,2316.923077,7.942500417
ALOHA,2014-01,959.8357143,11.59585,34.73052143,2184.614286,7.703857143,2339.428571,7.874433351
ALOHA,2014-02,759.5923077,13.19021538,34.76890769,2151.353846,7.767692308,2332.769231,7.924961194
ALOHA,2014-03,901.4333333,12.3451,34.72842,2172.693333,7.7266,2339.266667,7.892978311
ALOHA,2014-04,750.2923077,15.99189231,34.96449231,2113.853846,7.854692308,2334.384615,7.969746304
ALOHA,2014-05,1519.257143,5.8486,34.42625714,2268.242857,7.523,2347.142857,7.758982001
ALOHA,2014-06,846.94375,13.1877625,34.81190625,2160.35,7.7535,2338.8125,7.905989422
ALOHA,2014-07,50.1,24.12164,35.3813,2014.76,8.0614,2329.2,8.077057815
ALOHA,2014-09,853.88,14.58982,34.71853333,2142.533333,7.7838,2327.466667,7.908622328
ALOHA,2014-10,842.94375,14.3189,34.73580625,2151.45625,7.7644375,2331.8125,7.896607634
ALOHA,2014-11,707.7066667,14.29396667,34.77387333,2145.233333,7.767666667,2325.8,7.901738524
ALOHA,2014-12,847.1625,13.63145,34.78440625,2155.13125,7.7623125,2332,7.897869337
ALOHA,2015-02,893.7533333,12.75772,34.7788,2166.96,7.7348,2337.666667,7.891520125
ALOHA,2015-03,846.4,13.80075625,34.8316125,2154.28125,7.769625,2334.0625,7.899632194
ALOHA,2015-04,836.4133333,13.51954667,34.74979333,2149.44,7.767133333,2332.2,7.917396076
ALOHA,2015-05,807.0538462,13.18686923,34.71371538,2161.646154,7.733,2330.538462,7.887818306
ALOHA,2015-06,896.3285714,13.80992143,34.73803571,2150.321429,7.7695,2330.642857,7.904916821
ALOHA,2015-07,846.75,13.2940875,34.73140625,2161.7375,7.7443125,2329.125,7.883279768
ALOHA,2015-08,849.7125,12.52533125,34.69699375,2167.53125,7.729,2331.5625,7.888428111
ALOHA,2015-10,850.5625,12.820325,34.7109625,2163.45,7.731375,2330.3125,7.88715384
ALOHA,2015-11,603.1,15.36353846,34.72813846,2120.561538,7.807,2315.384615,7.928109431
ALOHA,2015-12,847.85,13.37323125,34.67759375,2153.9375,7.751625,2329.125,7.899810408
ALOHA,2016-01,853.3125,13.27291875,34.65934375,2157.975,7.7424375,2327.125,7.886584075
ALOHA,2016-02,846.0625,13.30194375,34.71658125,2156.14375,7.7506875,2330.875,7.899020087
ALOHA,2016-03,890.4333333,13.33779333,34.72838,2163.22,7.742333333,2335.8,7.885636863
ALOHA,2016-04,1005.923077,12.33507692,34.62735385,2170.861538,7.723384615,2333.076923,7.877768231
ALOHA,2016-05,300.5153846,17.15498462,34.76055385,2098.992308,7.839076923,2317.230769,7.962959364
ALOHA,2016-07,878.2066667,13.90348667,34.67868667,2152.893333,7.7566,2329.733333,7.893383665
ALOHA,2016-08,773.1666667,14.0644,34.67198667,2142.333333,7.767133333,2323.066667,7.908420774
ALOHA,2016-10,888.8,13.69992,34.69496,2159.686667,7.746,2331.4,7.881599482
ALOHA,2016-11,850.475,13.2837125,34.68979375,2156.20625,7.751,2327.6875,7.892978032
ALOHA,2017-01,902.2,11.62832667,34.59234,2180.033333,7.6944,2326.066667,7.861208982
ALOHA,2017-02,993.5615385,12.69250769,34.69206923,2162.061538,7.742923077,2329.769231,7.88619575
ALOHA,2017-03,839.06,13.7704,34.71391333,2146.033333,7.768266667,2325.8,7.90733724
ALOHA,2017-04,841.075,13.0967625,34.62436875,2161.10625,7.7294375,2323.4375,7.876809446
ALOHA,2017-05,1017.884615,11.37354615,34.5695,2182.838462,7.692230769,2328.923077,7.856438154
ALOHA,2017-06,848.6,14.027175,34.6317125,2146.5,7.7631875,2321.1875,7.891569188
ALOHA,2017-08,1039.391667,13.26758333,34.68081667,2171.491667,7.72725,2338.916667,7.869238348
ALOHA,2017-10,963.6285714,12.17795,34.63607143,2175.714286,7.707571429,2328.357143,7.859097382
ALOHA,2017-11,844.54375,13.77840625,34.67996875,2155.04375,7.7444375,2325.75,7.883249164
ALOHA,2017-12,886.7533333,13.10669333,34.70648667,2159.56,7.747666667,2331.333333,7.892191471
ALOHA,2018-01,1441.766667,5.617933333,34.40011111,2267.344444,7.518,2344.666667,7.766596149
ALOHA,2018-02,879.0933333,13.43856,34.7503,2155.6,7.759933333,2332.533333,7.899017779
