Station,Month,Pressure (dbar),Temperature (ITS-90),Salinity (PSS-78) ,DIC (umol/kg),pH,Aklanity (ueq/kg),Modelled_pH
KAHE POINT,2004-01,24.5333333,24.7161,34.9488,1970.1,8.08766667,2295.66667,8.09813681
KAHE POINT,2004-02,24.1333333,25.7320333,34.3679667,1937.9,8.10166667,2264.66667,8.09747188
KAHE POINT,2004-03,2.9,24.6795,34.6898,1956.5,8.097,2289,8.1150465
KAHE POINT,2004-04,24.6,25.1084,34.6310667,1954.56667,8.09733333,2281,8.10015512
KAHE POINT,2004-05,24.8,26.08715,34.4523,1946.95,8.0965,2272,8.08706068
KAHE POINT,2004-06,23.9333333,26.4799333,34.4969667,1947.7,8.105,2273.33333,8.08141432
KAHE POINT,2004-07,24.5666667,26.9068667,34.5877,1946.86667,8.10666667,2277,8.08054895
KAHE POINT,2004-08,24.7,27.2064,34.7435667,1954.16667,8.105,2285.33333,8.07439644
KAHE POINT,2004-09,24.6666667,28.0504,34.7491333,1950,8.10933333,2284.66667,8.06748201
KAHE POINT,2004-10,15.3,27.4031,34.87255,1953.5,8.1175,2296,8.08638387
KAHE POINT,2004-11,25,26.7444,34.8363,1961.2,8.107,2295,8.08271252
KAHE POINT,2005-02,24.9,24.6687,34.9717,1972.23333,8.095,2297.33333,8.09748827
KAHE POINT,2005-03,25.2,24.6531667,34.8166333,1967.06667,8.08866667,2289.33333,8.09639597
KAHE POINT,2005-05,24.4333333,26.1339333,34.8463667,1968.3,8.09733333,2297.33333,8.08366489
KAHE POINT,2005-06,25.6666667,25.5613,34.8363667,1968.46667,8.092,2293.66667,8.08667182
KAHE POINT,2005-08,24.35,27.22665,34.8868,1963.25,8.1035,2294.5,8.07091603
KAHE POINT,2005-09,25.6666667,27.2646,34.9316333,1962.86667,8.109,2300,8.07821137
KAHE POINT,2005-10,27.3,26.6929667,34.9673667,1970.1,8.10133333,2298.66667,8.07272432
KAHE POINT,2005-11,26.45,26.17895,35.00485,1968.65,8.0975,2308,8.09559817
KAHE POINT,2005-12,26.4333333,26.1718333,34.9769333,1966.63333,8.09866667,2300.33333,8.08836365
KAHE POINT,2006-02,25.5,24.2387333,35.0971,1981.03333,8.09033333,2312,8.10940881
KAHE POINT,2006-03,25.6666667,24.3899333,35.0051333,1981.13333,8.08566667,2306.33333,8.09993334
KAHE POINT,2006-04,25.1333333,24.7619,34.7996667,1961.66667,8.09633333,2287.33333,8.10085224
KAHE POINT,2006-05,26.0333333,25.0969333,34.8391333,1971.3,8.087,2291.33333,8.085479
KAHE POINT,2006-06,25.8333333,25.5334667,34.8033667,1968.16667,8.09366667,2290,8.08261477
KAHE POINT,2006-07,25.4,26.0738667,34.8365667,1968.36667,8.091,2291,8.07530209
KAHE POINT,2006-08,26.0333333,27.0180333,34.7787667,1959.66667,8.097,2288,8.07169705
KAHE POINT,2006-09,25.15,26.31555,34.97155,1975.45,8.0825,2300,8.07165461
KAHE POINT,2006-10,25.5333333,27.1848667,34.8474333,1960.83333,8.09733333,2288.33333,8.06697186
KAHE POINT,2006-11,26.0666667,26.9544,34.9752667,1967.16667,8.096,2301,8.07684558
KAHE POINT,2006-12,24.9,25.6528667,34.9960333,1976.86667,8.07633333,2300.33333,8.07940646
KAHE POINT,2007-02,24.9666667,24.8210333,34.9846667,1978.76667,8.08966667,2301.66667,8.09079615
KAHE POINT,2007-03,14.75,24.76605,34.65345,1967.1,8.0745,2285.5,8.09143119
KAHE POINT,2007-05,24.7666667,24.9010667,34.7685333,1974.4,8.07466667,2292,8.08524373
KAHE POINT,2007-06,26.1666667,25.9662333,34.9417,1980,8.08833333,2295.33333,8.0628646
KAHE POINT,2007-07,6.5,26.1809,34.9465,1974.4,8.086,2289,8.06010117
KAHE POINT,2007-08,25.7333333,26.8748,34.919,1969.86667,8.097,2299,8.07155986
