Percent,DIC,TA,T,S,P
1,-0.0638,0.0383,0.0019,-0.0041,0.0002029
5,-0.319,0.1915,0.0095,-0.0205,0.0010145
10,-0.638,0.383,0.019,0.041,0.002029
15,-0.957,0.5745,0.0285,-0.0615,0.0030435
20,-1.276,0.766,0.038,-0.082,0.004058
25,-1.595,0.9575,0.0475,-0.1025,0.0050725
30,-1.914,1.149,0.057,-0.123,0.006087
35,-2.233,1.3405,0.0665,-0.1435,0.0071015
40,-2.552,1.532,0.076,-0.164,0.008116
45,-2.871,1.7235,0.0855,-0.1845,0.0091305
50,-3.19,1.915,0.095,-0.205,0.010145
55,-3.509,2.1065,0.1045,-0.2255,0.0111595
60,-3.828,2.298,0.114,-0.246,0.012174
65,-4.147,2.4895,0.1235,-0.2665,0.0131885
70,-4.466,2.681,0.133,-0.287,0.014203
75,-4.785,2.8725,0.1425,-0.3075,0.0152175
80,-5.104,3.064,0.152,-0.328,0.016232
85,-5.423,3.2555,0.1615,-0.3485,0.0172465
90,-5.742,3.447,0.171,-0.369,0.018261
95,-6.061,3.6385,0.1805,-0.3895,0.0192755
100,-6.38,3.83,0.19,-0.41,0.02029
